Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.29561,544.6216216216217,1199.5917631074249,-0.049953427,-0.07796688079833984,-0.07796688079833984,1.0
20000,3.2956176,599.0,1199.5433286387715,-0.058462698,0.0,0.0,1.0
30000,3.2935565,289.0,1199.5639799687058,-0.060481522,-0.0014912266480295283,-0.0014912266480295283,1.0
40000,3.2921553,562.36,1200.84605875779,-0.055376958,0.028808185928746274,0.028808185928746274,1.0
50000,3.2920144,572.5454545454545,1200.4936254990553,-0.053895403,-0.058823529411764705,-0.058823529411764705,1.0
60000,3.2886887,459.25,1201.341218902089,-0.050286498,0.002282431251124332,0.002282431251124332,1.0
70000,3.2860563,587.7272727272727,1201.8460105672903,-0.03769309,0.024313751388998592,0.024313751388998592,1.0
80000,3.2871277,599.0,1201.7754356536793,-0.038613822,0.0,0.0,1.0
90000,3.2822514,530.0,1202.2712702758968,-0.032633822,0.04743202644235948,0.04743202644235948,1.0
100000,3.2780566,581.5454545454545,1203.4336873976595,-0.03512538,0.037706725737627816,0.037706725737627816,1.0
110000,3.278886,599.0,1203.3564940403317,-0.03395604,0.0,0.0,1.0
120000,3.2644868,481.1,1203.2606430763094,-0.030998314,0.017087494072161223,0.017087494072161223,1.0
130000,3.2552273,578.3478260869565,1203.260643076309,-0.023978218,-0.038350848590626437,-0.038350848590626437,1.0
140000,3.2588573,599.0,1203.2606430763094,-0.028209133,0.0,0.0,1.0
150000,3.2547367,465.85714285714283,1203.2606430763096,-0.027860213,-0.3,-0.3,1.0
160000,3.2546542,587.047619047619,1203.2606430763092,-0.027621191,-0.058823529411764705,-0.058823529411764705,1.0
170000,3.2555232,569.25,1203.2606430763092,-0.027494643,-0.0625,-0.0625,1.0
180000,3.250199,515.0833333333334,1203.0166907410764,-0.030639524,-0.05945003032684326,-0.05945003032684326,1.0
190000,3.2510004,589.3913043478261,1203.7124258735828,-0.027508847,0.021686490844277775,0.021686490844277775,1.0
200000,3.2522488,599.0,1203.7330107934104,-0.025322165,0.0,0.0,1.0
210000,3.2514942,584.8367346938776,1203.7269074453104,-0.025874503,0.0321121613184611,0.0321121613184611,1.0
220000,3.2629154,599.0,1203.7269074453104,-0.022281166,0.0,0.0,1.0
230000,3.2740154,599.0,1203.7269074453104,-0.01900929,0.0,0.0,1.0
