Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
8500000,0.9690696,22.79187817258883,-0.45851603,-0.039437627444113006,-0.039437627444113006,0.0029796278,0.1534712,0.0015347992,0.0013101833,0.013443734,0.0010000002,1.0
8600000,0.76934856,21.652920196165848,-0.47022936,0.13052732117104712,0.13052732117104712,0.0031178016,0.09466852,0.0015937014,0.0013539898,0.017006345,0.0010000002,1.0
8700000,0.74212396,18.09542933639319,-0.586141,-0.4895686208346898,-0.4895686208346898,0.0015415702,0.2089892,0.00079161284,0.0006550324,0.0044290223,0.0010000002,1.0
8800000,1.073682,19.23772975156534,-0.45004088,0.30681932073508106,0.30681932073508106,0.0032640821,0.051475324,0.0016546892,0.0014584296,0.028169056,0.0010000002,1.0
8900000,0.36655027,13.510245603836651,-0.4250476,0.4778903989463304,0.4778903989463304,0.0017377287,0.08893735,0.00089044287,0.00075944077,0.011462807,0.0010000002,1.0
9000000,1.28209,34.75848375451263,-0.28107,-0.5628219308228352,-0.5628219308228352,0.0036419928,0.086572975,0.001829195,0.0015929263,0.024223778,0.0010000002,1.0
9100000,0.68313587,20.235553687749526,-0.4157875,0.37868760363542225,0.37868760363542225,0.0028944737,0.09564466,0.0014867139,0.0012935868,0.020215457,0.0010000002,1.0
9200000,0.60037404,18.645459917273982,-0.42004424,0.4139228878165708,0.4139228878165708,0.002882796,0.1332062,0.001475599,0.0012671672,0.0044149123,0.0010000002,1.0
9300000,0.85383445,21.882175925925925,-0.35747838,0.29928334392409195,0.29928334392409195,0.0035811353,0.038730737,0.001836623,0.0015684587,0.022979612,0.0010000002,1.0
9400000,0.6795688,21.19704975781594,-0.4853039,0.15735865187960746,0.15735865187960746,0.0034189755,0.11589031,0.0017887729,0.0014956687,0.010537276,0.0010000002,1.0
9500000,0.66995656,22.52336229161775,-0.5334956,0.24266073763244855,0.24266073763244855,0.003504209,0.1308338,0.001833981,0.0015457376,0.015273604,0.0010000002,1.0
9600000,0.6781296,19.193209377526273,-0.53393966,0.30312068600449293,0.30312068600449293,0.0030947602,0.11618957,0.0016182879,0.0013276285,0.017089318,0.001,1.0
9700000,0.8000462,18.975716560509554,-0.5257209,0.4181220527189186,0.4181220527189186,0.0033674329,0.10791977,0.0017335383,0.0014583886,0.012392389,0.0010000002,1.0
9800000,1.081298,24.164785553047405,-0.44188914,-0.2395872964596091,-0.2395872964596091,0.002951346,0.0914493,0.0014694209,0.0011938569,0.019991461,0.001,1.0
9900000,0.7664151,19.578663345786634,-0.48371303,0.2388782843109085,0.2388782843109085,0.003144241,0.12748455,0.001616273,0.0013430947,0.018423915,0.0010000002,1.0
10000000,0.88422644,23.693817468105987,-0.56304723,-0.9380980769988218,-0.9380980769988218,0.000960878,0.24410354,0.00046336133,0.00037578057,0.002180289,0.0010000002,1.0
