Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,3.2641065,-0.08343901,588.0295857988166,1158.5408300463541,0.004797802084968204,0.004797802084968204,0.0017494826,0.057460666,9.974578e-05,1.0
200000,3.1921344,-0.025771035,593.5266272189349,1075.2025015953834,0.009120294680962196,0.009120294680962196,0.00021613955,0.04564057,9.9286204e-05,1.0
300000,3.2082007,-0.0082269525,591.6071428571429,992.2716394142897,-0.0027495234675661345,-0.0027495234675661345,0.00017061735,0.048447132,9.877506e-05,1.0
400000,3.2243102,-0.007360717,577.7572254335261,909.2800950028334,0.005095124937767206,0.005095124937767206,0.00057462626,0.070789635,9.826262e-05,1.0
500000,3.2528706,-0.0129626235,573.0693641618498,826.9277764542595,0.014930904945197132,0.014930904945197132,0.0012991127,0.0721816,9.7753145e-05,1.0
600000,3.2560272,-0.009171945,559.754189944134,744.0410596191322,0.01580236355463664,0.01580236355463664,0.0012221916,0.072283074,9.7243304e-05,1.0
700000,3.2379005,0.010733662,584.5087719298245,665.1034373810661,0.014645109457128188,0.014645109457128188,0.00041074073,0.06491555,9.6733835e-05,1.0
800000,3.2279453,-0.0047757593,576.7616279069767,585.342705809864,0.002329730574106205,0.002329730574106205,0.0006622923,0.07014915,9.622327e-05,1.0
900000,3.2420793,-0.014029023,590.8757396449704,509.59458658011596,-0.0013785065983879495,-0.0013785065983879495,0.00046051838,0.061496325,9.57132e-05,1.0
1000000,3.2461226,-0.007114015,576.5260115606936,435.3689080055746,-0.0074469271422810636,-0.0074469271422810636,0.0007481799,0.06614761,9.5205425e-05,1.0
1100000,3.2330563,0.008188415,565.7045454545455,366.403770307849,0.028647968714887447,0.028647968714887447,0.0009260371,0.072085224,9.474548e-05,1.0
1200000,3.2095914,0.0061414493,547.3791208791209,305.16503512199984,0.04234619324023907,0.04234619324023907,0.0015643996,0.07509132,9.4287985e-05,1.0
1300000,3.1905158,0.0014966796,545.2967032967033,253.30845770745236,0.055399296047923326,0.055399296047923326,0.0015475287,0.080935895,9.378006e-05,1.0
1400000,3.1766148,-0.006019952,513.5589743589744,208.2432876388828,0.07945155638914841,0.07945155638914841,0.0021833668,0.0804098,9.326974e-05,1.0
1500000,3.17262,0.012211742,475.6380952380952,174.93400102714588,0.1162210396357945,0.1162210396357945,0.004373151,0.081289455,9.276178e-05,1.0
1600000,3.178456,0.047186352,431.39565217391305,153.20136281460873,0.20209016229795373,0.20209016229795373,0.004775546,0.089406125,9.225796e-05,1.0
1700000,3.1476765,0.065055795,388.0856031128405,146.44604847379898,0.25993322120102463,0.25993322120102463,0.0063053565,0.07898258,9.175161e-05,1.0
1800000,3.1156108,0.08583898,361.24087591240874,149.7652682016995,0.2609644458241706,0.2609644458241706,0.008467177,0.08114482,9.124809e-05,1.0
1900000,3.1030998,0.11874024,326.814332247557,163.48472049424407,0.37363988239001605,0.37363988239001605,0.008768521,0.08048259,9.075141e-05,1.0
2000000,3.0562193,0.1782355,243.19164619164619,195.2429672059523,0.5185188639397714,0.5185188639397714,0.013323175,0.08013211,9.025865e-05,1.0
2100000,3.0108962,0.23443939,225.3581081081081,230.10543617565378,0.5451899262368006,0.5451899262368006,0.012816891,0.0823959,8.9767294e-05,1.0
2200000,2.9410446,0.2845813,185.86542056074765,270.4667107945859,0.6317397362705487,0.6317397362705487,0.01667872,0.07989131,8.928316e-05,1.0
2300000,2.874984,0.3606898,152.3963133640553,309.7938860008787,0.6944855057881908,0.6944855057881908,0.017937578,0.08213324,8.876016e-05,1.0
2400000,2.8345983,0.4435131,122.01842751842752,351.28103262484683,0.7356511239484136,0.7356511239484136,0.02083373,0.08594264,8.824537e-05,1.0
2500000,2.830256,0.4924544,103.98530954879328,396.6024013920451,0.7801204477789021,0.7801204477789021,0.020014204,0.09240842,8.7744265e-05,1.0
2600000,2.7687047,0.5042241,96.4298245614035,439.9368869395827,0.814304124832618,0.814304124832618,0.019435577,0.08342187,8.724726e-05,1.0
2700000,2.7009711,0.5476074,87.05281690140845,471.6672018404581,0.8200956052038032,0.8200956052038032,0.020736003,0.090340376,8.6756794e-05,1.0
2800000,2.6142137,0.6076372,68.66550522648083,511.36824408325344,0.8645646072015529,0.8645646072015529,0.019392405,0.084225394,8.6238e-05,1.0
2900000,2.5873406,0.6483742,64.53403141361257,554.20840157896,0.8804327393857596,0.8804327393857596,0.014854297,0.09081922,8.572827e-05,1.0
3000000,2.5077171,0.6916295,54.14798453892877,596.0914992439231,0.8996706868258054,0.8996706868258054,0.014188404,0.09362361,8.5232605e-05,1.0
3100000,2.4142454,0.6899197,48.91862206689965,638.3958599824492,0.9108786671922258,0.9108786671922258,0.013806563,0.09976011,8.4750056e-05,1.0
3200000,2.374089,0.6950782,46.49339622641509,670.7794010008254,0.9118031313753467,0.9118031313753467,0.014263442,0.09287112,8.4235755e-05,1.0
3300000,2.3263261,0.69637036,43.18460854092527,695.8661820558556,0.9143121337869554,0.9143121337869554,0.015357513,0.100090384,8.372928e-05,1.0
3400000,2.2624938,0.693541,40.436776859504135,720.0003489469078,0.924476928134595,0.924476928134595,0.013311225,0.08939432,8.323416e-05,1.0
3500000,2.1630495,0.68512315,35.890902366863905,746.8511064522042,0.934171477211474,0.934171477211474,0.011474694,0.112988226,8.275333e-05,1.0
3600000,2.0399044,0.67562133,31.539537910836316,772.9887038189136,0.9408428282214809,0.9408428282214809,0.01152409,0.14222658,8.2255516e-05,1.0
3700000,1.9418858,0.6803041,28.377314134587127,800.1521186456333,0.9487683572665474,0.9487683572665474,0.009518964,0.17493285,8.1749815e-05,1.0
3800000,1.8541454,0.68670076,26.115509761388285,826.0128822616251,0.9522435832889892,0.9522435832889892,0.008854495,0.19396722,8.1258404e-05,1.0
