Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957613,558.05,1200.9494558522063,0.07653314,0.07590710123380025,0.07590710123380025,1.0
20000,3.2957604,596.35,1201.3590963866454,0.08858737,0.005522333085536957,0.005522333085536957,1.0
30000,3.2935193,564.9,1201.2591601510042,0.041536108,-0.04614714119169447,-0.04614714119169447,1.0
40000,3.292873,519.4761904761905,1201.1673532717168,0.03530736,-0.041933125257492064,-0.041933125257492064,1.0
50000,3.2901626,458.27272727272725,1201.6575131843704,0.02378906,0.04478938014883744,0.04478938014883744,1.0
60000,3.2890894,564.0555555555555,1202.5231272016626,0.03267025,-0.10364531146155463,-0.10364531146155463,1.0
70000,3.289147,552.0555555555555,1202.8871938545938,0.03595933,0.009630511204401651,0.009630511204401651,1.0
80000,3.2853615,575.2352941176471,1203.024016571278,0.031722642,-0.023921819294200224,-0.023921819294200224,1.0
90000,3.2852092,593.3684210526316,1202.881876711145,0.0330844,0.010550043162177591,0.010550043162177591,1.0
100000,3.2835796,599.0,1203.06443588891,0.029513236,0.0,0.0,1.0
110000,3.2722437,571.6666666666666,1203.421023084969,0.03137539,-0.05549831522835626,-0.05549831522835626,1.0
120000,3.2688787,579.1764705882352,1203.4127832249812,0.027783183,0.0,0.0,1.0
130000,3.2682154,559.6666666666666,1203.412783224981,0.027158055,-0.0586111048857371,-0.0586111048857371,1.0
140000,3.267267,542.0,1203.412783224981,0.026476929,0.025592380099826388,0.025592380099826388,1.0
150000,3.2683005,533.4736842105264,1203.412783224981,0.027678227,-0.06631588308434737,-0.06631588308434737,1.0
160000,3.2652228,549.0,1203.412783224981,0.020350974,-0.008944451808929443,-0.008944451808929443,1.0
170000,3.2594314,593.7058823529412,1203.4127832249812,0.016365606,-0.058823529411764705,-0.058823529411764705,1.0
180000,3.2597167,572.0555555555555,1203.412783224981,0.01466142,0.044870336850484215,0.044870336850484215,1.0
190000,3.2576883,594.25,1203.4127832249812,0.013049442,-0.125,-0.125,1.0
200000,3.25721,538.3684210526316,1203.412783224981,0.012662878,-0.0020701728369060314,-0.0020701728369060314,1.0
210000,3.2757304,567.25,1203.2878442564759,0.012470783,-0.041703018877241343,-0.041703018877241343,1.0
220000,3.277857,584.9,1202.6644586201269,0.012379096,-0.058823529411764705,-0.058823529411764705,1.0
230000,3.2755606,570.25,1202.4678089748472,0.011056963,-0.031000228489146513,-0.031000228489146513,1.0
240000,3.2747266,568.95,1202.400717642194,0.00939812,-0.029352062278323703,-0.029352062278323703,1.0
250000,3.2734673,478.375,1202.8769094019376,0.0073523903,0.008389062351650663,0.008389062351650663,1.0
260000,3.250089,565.7777777777778,1203.2138810143629,0.006839908,0.05538953675164117,0.05538953675164117,1.0
270000,3.2510686,531.2105263157895,1203.2138810143629,0.0063267304,-0.0036140241120990956,-0.0036140241120990956,1.0
280000,3.2429736,599.0,1203.2138810143629,0.0061782473,-0.058823529411764705,-0.058823529411764705,1.0
290000,3.2425861,556.8947368421053,1203.2138810143629,0.0073678335,0.07407474848959181,0.07407474848959181,1.0
300000,3.2385068,546.2380952380952,1203.2138810143629,0.007911686,-0.00516664981842041,-0.00516664981842041,1.0
310000,3.2279365,501.4,1203.2138810143626,0.0089044245,-0.025596725313287032,-0.025596725313287032,1.0
320000,3.226715,547.8333333333334,1203.2138810143629,0.0064873514,-0.1111111111111111,-0.1111111111111111,1.0
330000,3.226237,577.9444444444445,1203.2138810143629,0.0029512425,0.03509239355723063,0.03509239355723063,1.0
340000,3.2231112,594.0625,1203.2138810143629,0.0022627173,0.008251301944255829,0.008251301944255829,1.0
350000,3.2219698,565.1666666666666,1203.2138810143629,0.0020723126,0.045333305994669594,0.045333305994669594,1.0
360000,3.2179923,579.7647058823529,1203.2138810143629,0.0028682828,0.043804561390596276,0.043804561390596276,1.0
370000,3.2175784,542.6315789473684,1203.2138810143629,0.0036838679,-0.009649148112849185,-0.009649148112849185,1.0
380000,3.221346,599.0,1203.2138810143629,0.003196541,0.0,0.0,1.0
390000,3.2142453,587.1176470588235,1203.2138810143629,0.003686445,-0.058823529411764705,-0.058823529411764705,1.0
400000,3.2144349,553.9473684210526,1203.2138810143629,0.0053954707,0.07506994197243139,0.07506994197243139,1.0
410000,3.20887,526.5238095238095,1203.2138810143629,0.00562738,-0.05542104495199103,-0.05542104495199103,1.0
420000,3.2143388,476.3809523809524,1203.2138810143629,0.007910797,-0.041840706552777975,-0.041840706552777975,1.0
430000,3.2116008,557.047619047619,1203.2138810143629,0.0027631735,-0.08759260839886135,-0.08759260839886135,1.0
440000,3.210522,599.0,1203.2138810143629,0.003016536,0.0,0.0,1.0
450000,3.2078853,535.6666666666666,1203.2138810143629,0.003428086,-0.058823529411764705,-0.058823529411764705,1.0
460000,3.2201583,529.2631578947369,1203.2950862600132,0.0052609993,-0.019507251287761488,-0.019507251287761488,1.0
470000,3.2275622,598.2941176470588,1203.78304118482,0.0040505044,-0.058823529411764705,-0.058823529411764705,1.0
480000,3.2238796,599.0,1203.6715404256245,0.0019739359,0.0,0.0,1.0
490000,3.2264569,520.5217391304348,1204.1590876060106,0.0030786046,0.05235004723072052,0.05235004723072052,1.0
500000,3.226076,560.2857142857143,1204.4327163562955,0.0026777573,-0.02768550978766547,-0.02768550978766547,1.0
510000,3.2260125,472.0952380952381,1204.8287031117513,0.0021289915,0.054412418887728735,0.054412418887728735,1.0
520000,3.2211905,559.7222222222222,1205.3962565494094,0.005835265,-0.005222204658720229,-0.005222204658720229,1.0
530000,3.217204,585.2941176470588,1205.7836510770987,0.0070284777,0.022843269740833956,0.022843269740833956,1.0
540000,3.218264,509.2,1206.3909092421704,0.005590217,0.10312237237629138,0.10312237237629138,1.0
550000,3.2136016,494.1578947368421,1206.561084213678,0.004794578,-0.11733342111110687,-0.11733342111110687,1.0
560000,3.1815236,507.75,1206.1823522915267,0.006541042,-0.019950073957443238,-0.019950073957443238,1.0
